col_1,CÓDIGO,col_3,col_4,MATERIA,col_6
,,,,MINISTERIOS DEL TRABAJO Y PREVISIÓN SOCIAL Y DE SALUD.,
1013-g,,,,"NO REGISTRAR O NO ADJUNTAR EN EL SITIO ELECTRÓNICO DE LA DIRECCIÓN DEL TRABAJO,",
,,,,"RESPECTO DE ADOLESCENTE CON EDAD PARA TRABAJAR, LA DOCUMENTACIÓN SEÑALADA EN",
,,,,"LAS LETRAS A. A LA D., DEL N° 2 DEL ARTÍCULO 6° DEL D. S. N° 1, DE 2021, DE MINISTERIOS DEL",
,,,,TRABAJO Y PREVISIÓN SOCIAL Y DE SALUD.,
1013-h,,,,NO REGISTRAR EN EL SITIO ELECTRÓNICO DE LA DIRECCIÓN DEL TRABAJO EL TÉRMINO DE LA,
,,,,RELACIÓN LABORAL DE UN ADOLESCENTE CON EDAD PARA TRABAJAR.,
1013-m,,,,"NO ADJUNTAR, AL MOMENTO DEL REGISTRO DEL TÉRMINO DE LA RELACIÓN LABORAL DE NIÑO,",
,,,,"NIÑA O ADOLESCENTE SIN EDAD PARA TRABAJAR, UNA COPIA DEL RESPECTIVO FINIQUITO",
,,,,"DENTRO DE LOS CINCO DÍAS HÁBILES SIGUIENTES A LA SUSCRIPCIÓN DE ESTE, CONFORME AL",
,,,,ARTÍCULO 177 DEL CÓDIGO DEL TRABAJO.,
