id,source,text_sample,riesgo,razones,multa_monto,categoria_infraccion,reincidencia,sector,tamano
DFL-1_16-ENE-2003.pdf::chunk-25,DFL-1_16-ENE-2003.pdf,"dentro de los cinco días posteriores a la suscripción del respectivo finiquito. Ley 21628 Esta información será utilizada para el ejercicio de Art. 2 las facultades legales propias de la Dirección del Trabajo, D.O. 31.10.2023 tales como fiscalizaciones, conciliaciones, mediaciones y ratificación de ",medio,multas bajas,0.0,,False,trabajo,
DFL-1_16-ENE-2003.pdf::chunk-26,DFL-1_16-ENE-2003.pdf,"18.620 1.- lugar y fecha del contrato; ART. PRIMERO 2.- individualización de las partes con indicación de la Art. 10 DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese código N207436S241870",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-27,DFL-1_16-ENE-2003.pdf,"único, Nº 6 acordada; 5.- duración y distribución de la jornada de trabajo, salvo que en la empresa existiere el sistema de trabajo por turno, caso en el cual se estará a lo dispuesto en el reglamento interno; 6.- plazo del contrato, y 7.- demás pactos que acordaren las partes. Deberán señalarse tam",bajo,,,,,,
DFL-1_16-ENE-2003.pdf::chunk-0,DFL-1_16-ENE-2003.pdf,"DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese código N207436S2418708 Documento generado el 21-Nov-2025 página 1 de 311 Decreto con Fuerza de Ley 1 FIJA EL TEXTO REFUNDIDO, COORDINADO Y",alto,trabajo de menores,,,,institucional,
DFL-1_16-ENE-2003.pdf::chunk-1,DFL-1_16-ENE-2003.pdf,"io de la ley Nº 19.759 facultó ""al Presidente de la República para que, dentro del plazo de un año, mediante un decreto con fuerza de ley del Ministerio del Trabajo y Previsión Social, dicte el texto refundido, coordinado y sistematizado del Código del Trabajo"". 2.- Que asimismo es recomendable, por",alto,trabajo infantil (NNA);antisindicalidad,,inexistente,False,publico,null
DFL-1_16-ENE-2003.pdf::chunk-2,DFL-1_16-ENE-2003.pdf,"es se regularán ART. PRIMERO por este Código y por sus leyes complementarias. Art. 1º Estas normas no se aplicarán, sin embargo, a los funcionarios de la Administración del Estado, centralizada y descentralizada, del DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez,",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-3,DFL-1_16-ENE-2003.pdf,"precedente se sujetarán a las normas de este Código en los aspectos o materias no regulados en sus respectivos estatutos, siempre que ellas no fueren contrarias a estos últimos. Los trabajadores que presten servicios L. 19759 en los oficios de notarías, archiveros o Art. único, Nº 1 conservadores se",bajo,Sin sanciones y con políticas,,,,,
DFL-1_16-ENE-2003.pdf::chunk-4,DFL-1_16-ENE-2003.pdf,"abajo y la libertad de las personas para contratar y dedicar su esfuerzo a la labor lícita que elijan. L. 18.620 ART. PRIMERO Las relaciones laborales deberán siempre fundarse en Art. 2º un trato libre de violencia, compatible con la dignidad de la persona y con perspectiva de género, lo que, para e",alto,acoso sexual;acoso laboral,,,,,
DFL-1_16-ENE-2003.pdf::chunk-5,DFL-1_16-ENE-2003.pdf,"dades en el empleo. b) El acoso laboral, entendiéndose por tal toda conducta que constituya agresión u hostigamiento ejercida por el empleador o por uno o más trabajadores, en contra de otro u otros trabajadores, por cualquier medio, ya sea que se manifieste una sola vez o de manera reiterada, y que",alto,acoso laboral;violencia en el trabajo ejercida por terceros,,"violencia y acoso laboral, DFL 1, TRABAJO (2002)",,,
DFL-1_16-ENE-2003.pdf::chunk-6,DFL-1_16-ENE-2003.pdf,"e por tal aquellas conductas que afecten a las trabajadoras y a los trabajadores, con ocasión de la prestación de servicios, por parte de clientes, proveedores o usuarios, entre otros. Son contrarios a los principios de las leyes laborales los actos de discriminación. L. 19.759 Art. único, Nº 2 Los ",,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-7,DFL-1_16-ENE-2003.pdf,"gan por objeto anular o alterar la igualdad de oportunidades o de trato en el empleo y la ocupación. Ley 21675 Art. 57 Con todo, las distinciones, exclusiones o preferencias D.O. 14.06.2024 basadas en las calificaciones exigidas para un empleo Ley 21155 determinado no serán consideradas discriminaci",bajo,,,,,,
DFL-1_16-ENE-2003.pdf::chunk-8,DFL-1_16-ENE-2003.pdf,"jadores a la ausencia de obligaciones de carácter Art. 1º Nº 1 b) económico, financiero, bancario o comercial que, conforme a D.O. 18.03.2005 la ley, puedan ser comunicadas por los responsables de L. 19812 registros o bancos de datos personales; ni exigir para Art. 2º dicho fin declaración ni certif",bajo,,,,,,
DFL-1_16-ENE-2003.pdf::chunk-9,DFL-1_16-ENE-2003.pdf,"de contrato, o la promoción o movilidad en su empleo, al hecho de no padecer o no haber padecido cáncer, ni exigir para dichos fines certificado o examen alguno. Ley 21258 Art. 22 N° 1 Lo dispuesto en los incisos tercero y cuarto de este D.O. 02.09.2020 artículo y las obligaciones que de ellos emana",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-10,DFL-1_16-ENE-2003.pdf,"rmas que regulan la prestación de los servicios. Art. 3.o Para todos los efectos legales se entiende por: L. 18620 a) empleador: la persona natural o jurídica que utiliza ART. PRIMERO los servicios intelectuales o materiales de una o más Art. 3º personas en virtud de un contrato de trabajo, b) traba",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-11,DFL-1_16-ENE-2003.pdf,"oda organización de medios personales, materiales e inmateriales, ordenados bajo la dirección de un empleador, para el logro de fines económicos, sociales, culturales o benéficos, dotada de una individualidad legal determinada. Ley 20760 Art. ÚNICO Nº 1 a) Dos o más empresas serán consideradas como ",nulo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-12,DFL-1_16-ENE-2003.pdf,"dos en el inciso anterior. Las empresas que cumplan lo dispuesto en el inciso cuarto serán solidariamente responsables del cumplimiento de las obligaciones laborales y previsionales emanadas de la ley, de los contratos individuales o de instrumentos colectivos. Las cuestiones suscitadas por la aplic",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-13,DFL-1_16-ENE-2003.pdf,"dispuesto en el artículo 507 de este Código. Ley 21394 Art. 5º, N° 1) Los trabajadores de todas las empresas consideradas D.O. 30.11.2021 DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese ",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-14,DFL-1_16-ENE-2003.pdf,"ectos de contrato colectivo, siendo obligatorio para el empleador negociar con dichos sindicatos. En todos estos casos, la presentación y tramitación de los proyectos de contrato colectivo se regirán por las normas establecidas en el Título IV del Libro IV de este Código. Ley 20940 Art. 1 N° 2 D.O. ",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-15,DFL-1_16-ENE-2003.pdf,"presa no alterarán los derechos y obligaciones de los trabajadores emanados de sus contratos individuales o de los instrumentos colectivos de trabajo, que mantendrán su vigencia y continuidad con el o los nuevos empleadores. De igual forma, en el caso de los trabajadores mencionados en el inciso fin",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-16,DFL-1_16-ENE-2003.pdf,"ntimidad, la vida privada o la honra de éstos. Los derechos establecidos por las leyes L. 18.620 laborales son irrenunciables, mientras subsista ART. PRIMERO el contrato de trabajo. Art. 5º Los contratos individuales y los instrumentos Ley 20940 colectivos de trabajo podrán ser modificados, Art. 1 N",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-17,DFL-1_16-ENE-2003.pdf,"un empleador y un trabajador. Es colectivo el celebrado por uno o más L. 19250 empleadores con una o más organizaciones Art. 1º, Nº 1 sindicales o con trabajadores que se unan para negociar colectivamente, o con unos y otros, con el objeto de establecer condiciones comunes de trabajo y de remuneraci",alto,antisindicalidad,,,,obreros y trabajadores en general,
DFL-1_16-ENE-2003.pdf::chunk-18,DFL-1_16-ENE-2003.pdf,"tación de servicios en L. 18.620 los términos señalados en el artículo anterior, ART. PRIMERO hace presumir la existencia de un contrato de Art. 8º trabajo. Los servicios prestados por personas que realizan oficios o ejecutan trabajos directamente al público, o aquellos que se efectúan discontinua o",medio,,,,False,obra en conjunto al legislador y justicia,
DFL-1_16-ENE-2003.pdf::chunk-19,DFL-1_16-ENE-2003.pdf,"satoria de dichos beneficios, convenida anticipada y expresamente, lo que no constituirá remuneración para efecto legal alguno. DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese código N20",bajo,sin sanciones,0,,False,,
DFL-1_16-ENE-2003.pdf::chunk-20,DFL-1_16-ENE-2003.pdf,"l plazo de quince días de incorporado el trabajador, o de cinco días si se trata de contratos por obra, trabajo o servicio determinado o de duración inferior a treinta días, será sancionado con una multa a beneficio fiscal de una a cinco unidades tributarias mensuales. Si el trabajador se negare a f",alto,trabajo infantil;antisindicalidad,,falta de contrato escrito,False,,
DFL-1_16-ENE-2003.pdf::chunk-21,DFL-1_16-ENE-2003.pdf,"inciso segundo, la falta de contrato escrito hará presumir legalmente que son estipulaciones del contrato las que declare el trabajador. El empleador, en todo caso, estará obligado a Ley 20396 mantener en el lugar de trabajo, o en un lugar Art. UNICO a) fijado con anterioridad y que deberá D.O. 23.1",medio,documentacion incompleta,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-22,DFL-1_16-ENE-2003.pdf,"ministración, control, operatividad o seguridad o que sus trabajadores presten servicios en instalaciones de terceros, o lugares de difícil ubicación específica, o carentes de condiciones materiales en las cuales mantener adecuadamente la referida documentación, como labores agrícolas, mineras o for",alto,documentacion incompleta,,,False,indeterminado,
DFL-1_16-ENE-2003.pdf::chunk-23,DFL-1_16-ENE-2003.pdf,"Director del Trabajo, mediante resolución fundada, fijará las condiciones y modalidades para dicha centralización. La Dirección del Trabajo deberá resolver la solicitud de que trata este inciso en un plazo de treinta días, no siendo exigible la obligación establecida en el inciso quinto, en tanto no",alto,trabajo infantil,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-24,DFL-1_16-ENE-2003.pdf,"los contratos de trabajo, dentro de los quince días siguientes a su celebración. Asimismo, deberá registrar las terminaciones de contrato, dentro de los plazos establecidos en los artículos 162 y 163 bis para el envío de las copias de las comunicaciones de terminación de contrato a la Inspección del",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-25,DFL-1_16-ENE-2003.pdf,"dentro de los cinco días posteriores a la suscripción del respectivo finiquito. Ley 21628 Esta información será utilizada para el ejercicio de Art. 2 las facultades legales propias de la Dirección del Trabajo, D.O. 31.10.2023 tales como fiscalizaciones, conciliaciones, mediaciones y ratificación de ",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-26,DFL-1_16-ENE-2003.pdf,"18.620 1.- lugar y fecha del contrato; ART. PRIMERO 2.- individualización de las partes con indicación de la Art. 10 DFL 1, TRABAJO (2002) Documento firmado digitalmente por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese código N207436S241870",null,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-27,DFL-1_16-ENE-2003.pdf,"único, Nº 6 acordada; 5.- duración y distribución de la jornada de trabajo, salvo que en la empresa existiere el sistema de trabajo por turno, caso en el cual se estará a lo dispuesto en el reglamento interno; 6.- plazo del contrato, y 7.- demás pactos que acordaren las partes. Deberán señalarse tam",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-28,DFL-1_16-ENE-2003.pdf,"orma se aplicará especialmente a los viajantes y a los trabajadores de empresas de transportes. Artículo 10 bis.- Sin perjuicio de lo dispuesto en el número 6 del artículo 10, las partes podrán celebrar un contrato por una obra o faena determinada. Ley 21122 El contrato por obra o faena es aquella c",bajo,,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-29,DFL-1_16-ENE-2003.pdf,"el carácter de contratos por obra o faena aquellos que implican la realización de labores o servicios de carácter permanente y que, como tales, no cesan o concluyen conforme a su naturaleza, lo cual se determinará en cada caso específico por la Inspección del Trabajo respectiva, sin perjuicio de las",alto,reincidencia,,,True,trabajo y empleo,
DFL-1_16-ENE-2003.pdf::chunk-30,DFL-1_16-ENE-2003.pdf,"web www.leychile.cl/validar e ingrese código N207436S2418708 Documento generado el 21-Nov-2025 página 10 de 311 derivados de reajustes de remuneraciones, ya Nº 4 sean legales o establecidos en contratos o convenios colectivos del trabajo o en fallos arbitrales o en acuerdos de grupo negociador. Ley ",medio,multas bajas,0.0,documentación incompleta,False,,
DFL-1_16-ENE-2003.pdf::chunk-31,DFL-1_16-ENE-2003.pdf,"cabo para el trabajador. Por circunstancias que afecten a todo el proceso de la empresa o establecimiento o a alguna de sus unidades o conjuntos operativos, podrá el empleador alterar la distribución de la jornada de trabajo convenida hasta en sesenta minutos, sea anticipando o postergando la hora d",,,,,,,
DFL-1_16-ENE-2003.pdf::chunk-32,DFL-1_16-ENE-2003.pdf,"su resolución ante el juez competente dentro de quinto día de notificada, quien resolverá en única instancia, sin forma de juicio, oyendo a las partes. Capítulo II DE LA CAPACIDAD PARA CONTRATAR Y OTRAS NORMAS RELATIVAS A LA PROTECCIÓN DEL TRABAJO DE NIÑOS, NIÑAS Y ADOLESCENTES Ley 21271 Art. único ",alto,trabajo infantil,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-33,DFL-1_16-ENE-2003.pdf,"por Ignacio Rodríguez Álvarez, Director. Para validar, acceda al sitio web www.leychile.cl/validar e ingrese código N207436S2418708 Documento generado el 21-Nov-2025 página 11 de 311 sus servicios, previo cumplimiento de los requisitos y condiciones establecidos en este Código. c) Adolescente sin ed",alto,trabajo de menores,,trabajo de menores,,,
DFL-1_16-ENE-2003.pdf::chunk-34,DFL-1_16-ENE-2003.pdf,"ases y/o su participación en programas de orientación o formación profesional, según corresponda. Ley 21271 La contratación de un adolescente con edad para Art. único N° 3 trabajar se deberá sujetar a las siguientes reglas D.O. 06.10.2020 especiales: a) Que los servicios que sean prestados por el ad",alto,trabajo infantil (NNA),,,False,,
DFL-1_16-ENE-2003.pdf::chunk-35,DFL-1_16-ENE-2003.pdf,"or del Trabajo requerirá informe sobre la conveniencia de la misma a la Oficina Local de la Niñez o al órgano de protección administrativa de la niñez que corresponda. En caso de que la autorización haya sido otorgada por el Inspector del Trabajo, éste deberá poner los antecedentes en conocimiento d",alto,trabajo infantil (NNA),,,,,
DFL-1_16-ENE-2003.pdf::chunk-36,DFL-1_16-ENE-2003.pdf,"pondientes. c) El adolescente con edad para trabajar deberá acreditar haber concluido su Educación Media o encontrarse actualmente cursando ésta o la Educación Básica. En el primer caso, el adolescente con edad para trabajar deberá acompañar el Certificado de Licencia de Enseñanza Media. En caso de ",alto,trabajo infantil,,trabajo de menores,,nulo,
DFL-1_16-ENE-2003.pdf::chunk-37,DFL-1_16-ENE-2003.pdf,"gina 12 de 311 deberá actualizarse cada seis meses, debiendo anexarse al contrato de trabajo, el cual deberá ser registrado por el empleador a través del sitio electrónico de la Dirección del Trabajo, dentro de los cinco días siguientes a su suscripción o a la recepción de la actualización del certi",alto,trabajo infantil,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-38,DFL-1_16-ENE-2003.pdf,"estinado a actividades educativas y jornada de trabajo no podrá ser superior a doce horas. En ningún caso será procedente el trabajo en jornada extraordinaria. Para efectos de determinar las épocas en que podrá aplicarse una u otra jornada máxima diaria, se deberá adjuntar al contrato de trabajo el ",alto,trabajo infantil;antisindicalidad,, trabajadores menores de edad ,False,,
DFL-1_16-ENE-2003.pdf::chunk-39,DFL-1_16-ENE-2003.pdf,"ores, según corresponda. e) Informar por parte del empleador a la Oficina Local de la Niñez o al órgano de protección administrativa de la niñez que corresponda de la contratación respectiva, dejando constancia del cumplimiento de los requisitos legales. Artículo 15.- Los niños, niñas, adolescentes ",alto,trabajo infantil,,trabajo peligroso,False,desconocido,
DFL-1_16-ENE-2003.pdf::chunk-40,DFL-1_16-ENE-2003.pdf,"ad u ocupación que, por su naturaleza o por las condiciones en que se lleva a cabo, es probable que dañe o afecte su salud, seguridad o desarrollo físico y/o psicológico. Queda prohibido el trabajo de niños, niñas, adolescentes sin edad para trabajar y adolescentes con edad para trabajar en cabarets",alto,trabajo infantil (NNA),,trabajo de menores,False,,
DFL-1_16-ENE-2003.pdf::chunk-41,DFL-1_16-ENE-2003.pdf,"dolescentes sin edad para trabajar y adolescentes con edad para trabajar, para prestar servicios en recintos o lugares donde se realicen o exhiban espectáculos de significación sexual. Un reglamento dictado por el Ministerio del Trabajo y Previsión Social, previo informe de la Dirección del Trabajo,",alto,trabajo infantil,,,,,
DFL-1_16-ENE-2003.pdf::chunk-42,DFL-1_16-ENE-2003.pdf,"o 15 bis.- Los adolescentes con edad para trabajar podrán actuar en espectáculos vivos que no se desarrollen en cabarets u otros establecimientos similares o en aquellos en que se expendan bebidas alcohólicas que deban ser consumidas en el mismo establecimiento, siempre que cuenten con autorización ",alto,trabajo infantil (NNA);antidisidicalidad,,,False,,
DFL-1_16-ENE-2003.pdf::chunk-43,DFL-1_16-ENE-2003.pdf,"co N° 5 a), b), c) D.O. 06.10.2020 Artículo 16.- En casos debidamente calificados, Ley 21271 cumpliendo con los requisitos del artículo 14 y con la Art. único N° 5 d) autorización del Tribunal de Familia competente, podrá D.O. 06.10.2020 permitirse a los niños, niñas, y a los adolescentes sin edad p",,,,,,,
DFL-1_16-ENE-2003.pdf::chunk-44,DFL-1_16-ENE-2003.pdf,"ear o proveer el traslado y Art. único N° 6 alimentación en condiciones adecuadas de higiene y D.O. 06.10.2020 seguridad. Art. 17. Si se contratare a un niño, niña o adolescente sin sujeción a lo dispuesto en los artículos precedentes, el empleador estará sujeto a todas las obligaciones inherentes a",alto,trabajo infantil (NNA);antisindicalidad;higiene crítica,,trabajo de menores,False,alimentacion,pequena
DFL-1_16-ENE-2003.pdf::chunk-45,DFL-1_16-ENE-2003.pdf,"nico N° 7 a) competentes las infracciones relativas al trabajo de niños, D.O. 06.10.2020 niñas y adolescentes de que tuviere conocimiento. L. 18.620 ART. PRIMERO Art. 18 Artículo 18.- Queda prohibido a los adolescentes con LEY 20069 edad para trabajar realizar labores en horario nocturno en Art. úni",alto,trabajo infantil,7.5,"trabajo de niños, niñas y adolescentes",False,,
